"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.241542101E1,6.496134830E1,2.537824796E1,-4.964145767E-1,1.486771383E0,3.508352051E2,4.748651256E0,5.900736957E0
6.341540730E1,6.496135506E1,2.537822190E1,-3.788689114E-1,1.319177844E0,3.438432007E2,4.748651284E0,6.321428871E0
6.441539323E1,6.496135712E1,2.537820313E1,-6.669474691E-1,1.043634496E0,3.438432007E2,4.748651380E0,5.825807721E0
6.541537952E1,6.496136135E1,2.537821243E1,3.507171161E-1,5.024680932E-1,3.438432007E2,4.748651448E0,5.637770103E0
6.641536605E1,6.496137879E1,2.537822440E1,6.038946379E-1,8.273030608E-1,3.406129456E2,4.748651404E0,5.459005847E0
6.741535378E1,6.496139411E1,2.537820350E1,3.894287189E-1,1.266060650E0,3.406129456E2,4.748651325E0,5.436173022E0
6.841533935E1,6.496140797E1,2.537820538E1,2.641011821E-1,1.439341944E0,3.406129456E2,4.748651279E0,5.396295049E0
6.941532612E1,6.496140655E1,2.537819682E1,-6.910744356E-1,1.049968447E0,3.406129456E2,4.748651328E0,5.700330202E0
7.041531372E1,6.496140906E1,2.537819866E1,-6.918508885E-1,4.251850119E-1,3.406129456E2,4.748651448E0,5.641052352E0
7.141530085E1,6.496142657E1,2.537818721E1,-6.072671087E-1,1.040965399E0,3.406129456E2,4.748651362E0,5.300274818E0
7.241528749E1,6.496144889E1,2.537818075E1,-6.535754083E-1,1.773857332E0,3.426598816E2,4.748651241E0,5.404712518E0
7.341527438E1,6.496145516E1,2.537816376E1,-3.998180842E-1,1.276891732E0,3.426598816E2,4.748651303E0,6.076794473E0
7.441526175E1,6.496147399E1,2.537816291E1,3.094915971E-1,1.652927228E0,3.426598816E2,4.748651260E0,5.698176571E0
7.541524863E1,6.496148277E1,2.537814738E1,-2.800941281E-2,1.253748011E0,3.426598816E2,4.748651289E0,6.172388383E0
7.641523683E1,6.496150676E1,2.537813461E1,2.267423216E-1,1.973361219E0,3.412766724E2,4.748651176E0,5.809486587E0
7.741522324E1,6.496151185E1,2.537812855E1,-2.434708495E-1,1.271609133E0,3.412766724E2,4.748651338E0,6.003322665E0
7.841521072E1,6.496152986E1,2.537813293E1,1.051247427E-1,1.520196126E0,3.412766724E2,4.748651345E0,5.270468126E0
7.941519821E1,6.496154390E1,2.537814505E1,-1.823392957E-1,1.389984426E0,3.412766724E2,4.748651343E0,5.490683632E0
8.041518521E1,6.496156233E1,2.537814102E1,-1.241094451E-1,1.645637520E0,3.412766724E2,4.748651385E0,4.946425144E0
8.141517293E1,6.496156973E1,2.537814325E1,5.689886771E-2,1.217197587E0,3.412766724E2,4.748651415E0,5.509709359E0
8.241515994E1,6.496158647E1,2.537812986E1,1.586183368E0,1.666696439E0,3.412766724E2,4.748651417E0,5.059798206E0
8.341514754E1,6.496159302E1,2.537812463E1,1.132602394E0,1.274203891E0,3.412766724E2,4.748651434E0,5.462936997E0
8.441513562E1,6.496160438E1,2.537812450E1,1.749259839E0,1.684913620E0,2.169610407E1,4.748651391E0,5.055678029E0
8.541512287E1,6.496161180E1,2.537813191E1,1.573784659E0,1.264164403E0,2.898243718E1,4.748651424E0,5.209664618E0
8.641511011E1,6.496162421E1,2.537814953E1,1.664623513E0,1.849515303E0,4.069120331E1,4.748651360E0,5.053522511E0
8.741509819E1,6.496163750E1,2.537816329E1,2.990875580E0,1.349518769E0,2.637152781E1,4.748651452E0,5.383834292E0
8.841508579E1,6.496165059E1,2.537819640E1,2.951625767E0,1.864661844E0,3.636850721E1,4.748651401E0,5.017640978E0
8.941507268E1,6.496166072E1,2.537822748E1,2.874691533E0,1.298915663E0,3.701220369E1,4.748651428E0,5.455488968E0
9.041506135E1,6.496168513E1,2.537837548E1,3.509137687E0,1.918843734E0,4.920605673E1,4.748651360E0,5.160001354E0
9.141504812E1,6.496169144E1,2.537839600E1,3.389765151E0,1.380905150E0,5.059595490E1,4.748651417E0,5.186205801E0
9.241503561E1,6.496170285E1,2.537842714E1,2.761651854E0,1.463671877E0,5.059595490E1,4.748651411E0,4.776075353E0
9.341502380E1,6.496171305E1,2.537845204E1,2.637206742E0,1.469924900E0,5.158403015E1,4.748651406E0,4.699696667E0
9.441501200E1,6.496172297E1,2.537848492E1,2.950339977E0,1.348089437E0,5.158403015E1,4.748651425E0,4.752135859E0
9.541499913E1,6.496174054E1,2.537850406E1,2.751464566E0,1.692247728E0,5.158403015E1,4.748651440E0,4.724336253E0
