"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.421573958E0,-7.828185803E-1,-5.879995143E-1,6.124139786E-2
2.431611958E0,-6.234711365E-1,-1.038456144E0,-8.590670764E-2
2.441648958E0,-4.053039922E-1,-1.475780513E0,-3.684921151E-1
2.451686958E0,-3.315724301E-1,-1.564807295E0,-4.592426562E-1
2.461724958E0,-2.849572392E-1,-1.302342741E0,-2.546784014E-1
2.471761958E0,-1.111004413E-1,-1.195350389E0,-2.073650712E-1
2.481799958E0,-8.005494213E-2,-1.236397258E0,-3.862156105E-1
2.491837958E0,-2.800348338E-1,-1.204668804E0,-1.002518572E0
2.501874958E0,-5.638743411E-1,-1.230269084E0,-2.010705435E0
2.511912958E0,-8.101475161E-1,-9.070174608E-1,-1.987189688E0
2.521949958E0,-8.562165588E-1,-9.133263141E-1,-1.918330538E0
2.531987958E0,-6.388822773E-1,-1.941837514E0,-2.069231971E0
2.542025958E0,-4.947671591E-1,-2.800372786E0,-1.823428473E0
2.552062958E0,-5.935118673E-1,-2.849182711E0,-1.917893166E0
2.562100958E0,-6.118533037E-1,-2.359785964E0,-2.624775930E0
2.572137958E0,-4.080149075E-1,-1.757831192E0,-3.164021945E0
2.582175958E0,-7.529021055E-4,-1.012161508E0,-3.205264696E0
2.592213958E0,3.294341764E-1,-2.121059936E-1,-2.784121327E0
2.602250958E0,6.977668818E-1,3.643359143E-1,-1.832519724E0
2.612288958E0,1.110482878E0,3.414548823E-1,-6.785693765E-1
2.622326958E0,1.135506768E0,2.853265822E-2,-5.043188417E-1
2.632363958E0,8.087329285E-1,-8.842978120E-2,-9.469776249E-1
2.642401958E0,-5.603255197E-2,2.336600000E-1,-1.277283913E0
2.652438958E0,-7.698736489E-1,8.268193898E-1,-1.658700129E0
2.662476958E0,-1.022194453E0,1.271177666E0,-1.549807432E0
2.672514958E0,-1.360929649E0,1.186994133E0,-1.076968830E0
2.682551958E0,-1.740454875E0,6.047488636E-1,-1.196288282E0
2.692589958E0,-1.196380522E0,1.619228500E-1,-6.642121232E-1
2.702626958E0,-7.210581690E-1,1.310244083E-2,-7.653362095E-2
2.712664958E0,-3.058602494E-1,-5.015130553E-1,-2.030469024E-1
2.722702958E0,5.158706009E-4,-8.657048357E-1,1.954800206E-1
2.732739958E0,6.356052053E-1,-5.404663289E-1,1.289225682E0
2.742777958E0,1.184358793E0,-1.978224152E-1,1.638920753E0
2.752815958E0,9.697063369E-1,-1.883727300E-1,1.976375263E0
2.762852958E0,1.083162201E0,-9.556952387E-2,2.290301161E0
2.772890958E0,1.075064684E0,-1.810572785E-1,2.109379538E0
2.782927958E0,1.035484297E0,-3.983523837E-1,4.764738160E-1
2.792965958E0,3.989944080E-1,3.982237449E-1,-2.272388801E0
2.803003958E0,3.043583921E-1,1.409812518E0,-3.272770801E0
2.813040958E0,1.169570892E0,1.133638875E0,-1.615207955E0
2.823078958E0,2.174147100E0,4.038034505E-1,8.097124833E-1
2.833115958E0,2.656390656E0,-1.378773451E-1,3.241823827E0
2.843153958E0,2.517587696E0,-1.022835892E-1,3.276941620E0
2.853191958E0,2.346980562E0,-1.096298263E0,5.437681346E0
2.863228958E0,2.287255054E0,-1.066187149E0,5.446635772E0
2.873266958E0,1.264021551E0,-2.851827407E-1,3.749655091E0
2.883303958E0,8.378305739E-1,2.523403922E-1,2.524079275E0
2.893341958E0,7.049160531E-1,2.690453026E-1,2.145764422E0
2.903379958E0,6.382928780E-1,8.264542311E-2,1.925936011E0
2.913416958E0,4.584138134E-1,2.694908604E-1,1.605669976E0
2.923454958E0,5.626769775E-1,5.017735487E-1,1.331806276E0
2.933492958E0,6.829387084E-1,5.308231008E-1,1.250155172E0
2.943529958E0,5.159398904E-1,3.269011626E-1,9.985155684E-1
2.953567958E0,2.075372717E-1,1.223909944E-2,5.466807497E-1
2.963604958E0,1.115999579E-1,-7.570039272E-2,5.896747416E-1
2.973642958E0,1.511598802E-1,8.260946274E-2,1.486676214E0
2.983680958E0,3.660985574E-1,2.946052364E-1,2.177525328E0
2.993717958E0,5.286096373E-1,1.207110894E-1,1.716749532E0
3.003755958E0,3.153523269E-1,-4.007003331E-1,9.398089385E-1
3.013792958E0,-4.181726906E-1,-5.527548373E-1,-2.344891351E-1
3.023830958E0,-1.003871326E0,-3.773298892E-1,-1.763710275E0
3.033868958E0,-9.936313891E-1,-3.276896596E-1,-3.030034752E0
3.043905958E0,-8.651832640E-1,-4.758043098E-1,-3.152959598E0
3.053943958E0,-6.521238819E-1,-4.716793916E-1,-2.731092929E0
3.063980958E0,-4.028123474E-1,-3.595072836E-1,-2.163872665E0
3.074018958E0,-6.191295058E-2,-4.370714763E-1,-1.565984924E0
3.084056958E0,1.796030760E-1,-5.730429214E-1,-1.267250091E0
3.094093958E0,7.187339008E-2,-6.877199766E-1,-1.668314121E0
3.104131958E0,-3.512723574E-1,-4.835053852E-1,-2.377238148E0
3.114168958E0,-8.374010959E-1,-4.848537531E-1,-3.120277755E0
3.124206958E0,-1.038047716E0,-8.670315689E-1,-3.650105075E0
3.134244958E0,-1.225417356E0,-9.475146917E-1,-4.137077567E0
3.144281958E0,-1.234399557E0,-6.810380709E-1,-4.079046875E0
